z_why,c_id,c_h,c_r_,c_r,lesson_topic,c_revision,z_what,e,_split
elaborate_answer,2928211_32,"[{'id': 32, 'text': 'no i was just clicing stuf', 'time': '28:49', 'user': 'student'}
 {'id': 33, 'text': 'Okay, not to worry.', 'time': '29:05', 'user': 'tutor'}
 {'id': 34, 'text': 'Which shape is this?', 'time': '29:26', 'user': 'tutor'}
 {'id': 35, 'text': 'a spear', 'time': '31:18', 'user': 'student'}]","[{'is_revised': True, 'text': 'Do you mean sphere?', 'user': 'tutor'}]","[{'id': 36, 'text': 'That is a good effort.', 'time': '31:38', 'user': 'tutor'}]",2.8A.2- and 3-Dimensional Shapes,"[{'is_revised': True, 'text': 'Do you mean sphere?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Yes', 'user': 'student'}
 {'is_revised': True, 'text': 'Great job!', 'user': 'tutor'}]",ask_question,imprecise,train
support_thinking,4106180_79,"[{'id': 79, 'text': 'What is the value of 100*100 =?', 'time': '31:47', 'user': 'tutor'}
 {'id': 80, 'text': '1,000', 'time': '31:48', 'user': 'student'}
 {'id': 81, 'text': 'Is that your final answer?', 'time': '32:21', 'user': 'tutor'}
 {'id': 82, 'text': 'yes', 'time': '32:30', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hmm, not quite. We can break this problem down into smaller steps', 'user': 'tutor'}
 {'is_revised': True, 'text': 'You know how 10 * 10 = 100?', 'user': 'tutor'}]","[{'id': 83, 'text': 'Your answer is incorrect.', 'time': '33:09', 'user': 'tutor'}
 {'id': 84, 'text': 'Please recheck your answer and steps.', 'time': '33:17', 'user': 'tutor'}]",5.2A.Place Value,"[{'is_revised': True, 'text': 'Hmm, not quite. We can break this problem down into smaller steps', 'user': 'tutor'}
 {'is_revised': True, 'text': 'You know how 10 * 10 = 100?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'yes', 'user': 'student'}
 {'is_revised': True, 'text': 'So 100 * 100 can be rewritten as 100 * 10 * 10', 'user': 'tutor'}
 {'is_revised': True, 'text': ""Let's multiply the 100 by the first 10. Could you let me know what that is?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '1000', 'user': 'student'}
 {'is_revised': True, 'text': ""That's right! Now we need to multiply the 1000 you just got with the second 10. Could you tell me what 1000 * 10 is?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '10000', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",simplify_question,right-idea,train
understand_topic,2916172_42,"[{'id': 42, 'text': 'B', 'time': '23:23', 'user': 'student'}
 {'id': 43, 'text': 'We are left with 5 more minutes in the session.', 'time': '23:24', 'user': 'tutor'}
 {'id': 44, 'text': 'Is that your final answer?', 'time': '23:37', 'user': 'tutor'}
 {'id': 45, 'text': 'yes', 'time': '23:47', 'user': 'student'}]","[{'is_revised': True, 'text': ""Great try! Let's try to think of this as an array. If you have 3 rows of 2 items each, how many total items would you have?"", 'user': 'tutor'}]","[{'id': 46, 'text': '+1 point for your effort.', 'time': '23:57', 'user': 'tutor'}
 {'id': 47, 'text': 'I will review this question at the end of the session.', 'time': '24:27', 'user': 'tutor'}
 {'id': 48, 'text': ""Let's move on to the next question."", 'time': '24:34', 'user': 'tutor'}]",2.6A.Foundations of Multiplication,"[{'is_revised': True, 'text': ""Great try! Let's try to think of this as an array. If you have 3 rows of 2 items each, how many total items would you have?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '6?', 'user': 'student'}
 {'is_revised': True, 'text': ""Yes, that's correct!"", 'user': 'tutor'}]",provide_strategy,guess,train
elaborate_answer,6259783_53,"[{'id': 53, 'text': 'ready', 'time': '32:03', 'user': 'student'}
 {'id': 54, 'text': 'Thank you for letting me know.', 'time': '32:58', 'user': 'tutor'}
 {'id': 55, 'text': 'Is that your final answer?', 'time': '33:05', 'user': 'tutor'}
 {'id': 56, 'text': 'yes', 'time': '33:33', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! Can you please explain how you got your answer?', 'user': 'tutor'}]","[{'id': 57, 'text': 'Please recheck your answer.', 'time': '34:01', 'user': 'tutor'}
 {'id': 58, 'text': 'Please explain how you got your answer.', 'time': '35:40', 'user': 'tutor'}]",8.10A.Reflections (Review) - 1,"[{'is_revised': True, 'text': 'Great try! Can you please explain how you got your answer?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'I just fliped the shape.', 'user': 'student'}
 {'is_revised': True, 'text': 'Ok great! You are correct that you want to flip the shape, but make sure you do it in the correct direction.', 'user': 'tutor'}]",ask_question,diagnose,train
understand_topic,4288776_44,"[{'id': 44, 'text': 'sory', 'time': '27:02', 'user': 'student'}
 {'id': 45, 'text': 'Which is greater than 36, five cannot be a factor of 6. We also know that all multiples of 5 end in 5 or 0, so because of this, 5 cannot be a factor of 36.', 'time': '27:23', 'user': 'tutor'}
 {'id': 46, 'text': 'What is an example of an inverse operation we would get if we continued to search for factors?', 'time': '27:45', 'user': 'tutor'}
 {'id': 47, 'text': '7 times 5=35', 'time': '28:47', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! We could say 7*5=5*7', 'user': 'tutor'}]","[{'id': 48, 'text': 'Good. Plus, one point for your effort.', 'time': '29:30', 'user': 'tutor'}
 {'id': 49, 'text': 'If we continued to search for factors, we would get 9*4 = 36 which is the inverse operation of 4*9.', 'time': '30:45', 'user': 'tutor'}
 {'id': 50, 'text': ""How do we count by 3's?"", 'time': '31:10', 'user': 'tutor'}]",4.4H.Factors and Multiples,"[{'is_revised': True, 'text': 'Great try! We could say 7*5=5*7', 'user': 'tutor'}
 {'is_revised': True, 'text': 'ok', 'user': 'student'}
 {'is_revised': True, 'text': ""Let's try another problem"", 'user': 'tutor'}]",explain_concept,right-idea,train
hint_mistake,4055603_15,"[{'id': 15, 'text': ""Let's move on to the question."", 'time': '10:06', 'user': 'tutor'}
 {'id': 16, 'text': 'In this question, we need to find how many total legos are in the bag.', 'time': '10:44', 'user': 'tutor'}
 {'id': 17, 'text': 'How many bags does max have?', 'time': '11:17', 'user': 'tutor'}
 {'id': 18, 'text': '13', 'time': '11:39', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hmm, not quite. Could you reread the second line of the question? It will say how many bags max has', 'user': 'tutor'}]","[{'id': 19, 'text': ""That's incorrect."", 'time': '11:51', 'user': 'tutor'}
 {'id': 20, 'text': 'We have to multiply them.', 'time': '12:05', 'user': 'tutor'}
 {'id': 21, 'text': 'Good job! Keep going.', 'time': '12:34', 'user': 'tutor'}
 {'id': 22, 'text': 'Let me explain it to you.', 'time': '14:06', 'user': 'tutor'}]",3.2B.Multiples of Ten,"[{'is_revised': True, 'text': 'Hmm, not quite. Could you reread the second line of the question? It will say how many bags max has', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh, 4', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, he has 4 bags. 13 is the number of lego pieces inside each bag', 'user': 'tutor'}]",ask_question,careless,train
motivate_student,2939739_66,"[{'id': 66, 'text': 'We will continue this lesson in the next session.', 'time': '29:10', 'user': 'tutor'}
 {'id': 67, 'text': 'bye', 'time': '29:19', 'user': 'student'}
 {'id': 68, 'text': 'Before we end the session, is there anything else I can help you with?', 'time': '29:20', 'user': 'tutor'}
 {'id': 69, 'text': 'no', 'time': '29:26', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ok, great work today!', 'user': 'tutor'}]","[{'id': 70, 'text': 'Thank you for your efforts today! I think we really accomplished a lot today. Please fill in the feedback form as you leave. See you next time ', 'time': '29:29', 'user': 'tutor'}
 {'id': 71, 'text': 'Bye, [STUDENT].', 'time': '29:42', 'user': 'tutor'}
 {'id': 72, 'text': 'Best student ever.', 'time': '29:47', 'user': 'tutor'}]",4.6B.Symmetry,"[{'is_revised': True, 'text': 'Ok, great work today!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'thx', 'user': 'student'}
 {'is_revised': True, 'text': 'Bye!', 'user': 'tutor'}]",encourage_student,student is ending the session,train
End session.,4012844_44,"[{'id': 44, 'text': 'Sorry for the typo.', 'time': '20:55', 'user': 'tutor'}
 {'id': 45, 'text': 'i did', 'time': '20:55', 'user': 'student'}
 {'id': 46, 'text': 'With that in mind, would you like to try it again?', 'time': '21:01', 'user': 'tutor'}
 {'id': 47, 'text': 'no', 'time': '21:06', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ok, great. Would you like to end the session?', 'user': 'tutor'}]","[{'id': 48, 'text': 'It was a good try. Plus 1 point.', 'time': '21:23', 'user': 'tutor'}]",4.9A.Converting Units of Measure,"[{'is_revised': True, 'text': 'Ok, great. Would you like to end the session?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Yes', 'user': 'student'}
 {'is_revised': True, 'text': 'Ok have a great night!', 'user': 'tutor'}]",ask_question,Student ready to end session.,train
The multiplication table provides the necessary prerequisite knowledge for division,6383453_36,"[{'id': 36, 'text': 'Consider the first digit in the given number.', 'time': '09:51', 'user': 'tutor'}
 {'id': 37, 'text': 'How many times 4 go in 6?', 'time': '10:03', 'user': 'tutor'}
 {'id': 38, 'text': 'Have you learned multiplication tables?', 'time': '10:25', 'user': 'tutor'}
 {'id': 39, 'text': '6', 'time': '10:37', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, not quite. 4 goes into 6 one time. ', 'user': 'tutor'}
 {'is_revised': True, 'text': ""Before we can continue with division, it's best that we learn our multiplication tables first"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Please memorize this table', 'user': 'tutor'}
 {'is_revised': True, 'text': 'https://plus.maths.org/content/sites/plus.maths.org/files/articles/2022/multitables/fig1_web.jpg', 'user': 'tutor'}]","[{'id': 40, 'text': 'That was a good try, one point for trying.', 'time': '10:55', 'user': 'tutor'}
 {'id': 41, 'text': 'Participation is the KEY ingredient for success in these tutoring sessions. The more effort you show, the more points I can add to your scoreboard.', 'time': '11:03', 'user': 'tutor'}
 {'id': 42, 'text': 'I will write the table of 4 on the board.', 'time': '11:19', 'user': 'tutor'}
 {'id': 43, 'text': 'Can you complete the answers for that?', 'time': '11:55', 'user': 'tutor'}
 {'id': 44, 'text': 'What is 1*4?', 'time': '12:06', 'user': 'tutor'}]",4.4G.Dividing with Remainders,"[{'is_revised': True, 'text': 'Ah, not quite. 4 goes into 6 one time. ', 'user': 'tutor'}
 {'is_revised': True, 'text': ""Before we can continue with division, it's best that we learn our multiplication tables first"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Please memorize this table', 'user': 'tutor'}
 {'is_revised': True, 'text': 'https://plus.maths.org/content/sites/plus.maths.org/files/articles/2022/multitables/fig1_web.jpg', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Right now?', 'user': 'student'}
 {'is_revised': True, 'text': 'No, after the session ends but before our next session. It is EXTREMELY important that you know this by heart', 'user': 'tutor'}]",Provided a resource,guess,train
clarify_misunderstanding,4110409_42,"[{'id': 42, 'text': 'To identify the location of the x-coordinate of a point on a coordinate grid, we have to start from at the origin (0,0).', 'time': '34:38', 'user': 'tutor'}
 {'id': 43, 'text': 'To identify the x-coordinate, we should move from the origin to the right.', 'time': '35:44', 'user': 'tutor'}
 {'id': 44, 'text': 'How many spaces to the right must you move to get to Point D?', 'time': '36:01', 'user': 'tutor'}
 {'id': 45, 'text': '4', 'time': '37:18', 'user': 'student'}]","[{'is_revised': True, 'text': ""Ah, the 4 is the y-coordinate. We're not there yet."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'How far right from the middle is point D? Remember, only moving right, no up or down', 'user': 'tutor'}]","[{'id': 46, 'text': 'Kindly recheck your answer.', 'time': '37:52', 'user': 'tutor'}
 {'id': 47, 'text': 'There are 7 spaces.', 'time': '38:02', 'user': 'tutor'}]",5.5A.Graphing on a Coordinate Grid (Review),"[{'is_revised': True, 'text': ""Ah, the 4 is the y-coordinate. We're not there yet."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'How far right from the middle is point D? Remember, only moving right, no up or down', 'user': 'tutor'}
 {'is_revised': True, 'text': '7', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, the x-coordinate of point D is 7', 'user': 'tutor'}]",provide_correction,right-idea,train
correct_mistake,4014122_51,"[{'id': 51, 'text': ""Now you'll see the next question on the board."", 'time': '27:53', 'user': 'tutor'}
 {'id': 52, 'text': 'Go ahead and give your best answer.', 'time': '28:18', 'user': 'tutor'}
 {'id': 53, 'text': 'How many minutes per hour?', 'time': '30:10', 'user': 'tutor'}
 {'id': 54, 'text': '44', 'time': '31:20', 'user': 'student'}]","[{'is_revised': True, 'text': 'That is not correct. How many minutes are in one hour?', 'user': 'tutor'}]","[{'id': 55, 'text': 'Excellent effort. Let me explain to you.', 'time': '31:41', 'user': 'tutor'}]",3.5B.Word Problems with Multiplication,"[{'is_revised': True, 'text': 'That is not correct. How many minutes are in one hour?', 'user': 'tutor'}
 {'is_revised': True, 'text': '60 ', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct! Good job.', 'user': 'tutor'}]",ask_question,diagnose,train
clarify_misunderstanding,2989508_51,"[{'id': 51, 'text': 'Great!', 'time': '25:30', 'user': 'tutor'}
 {'id': 52, 'text': 'This is our next question.', 'time': '26:35', 'user': 'tutor'}
 {'id': 53, 'text': 'Would you like to give it a shot?', 'time': '26:45', 'user': 'tutor'}
 {'id': 54, 'text': '6', 'time': '27:44', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! It does not matter which order you add numbers, so 5+7 is the same as 7+5, BUT the order does matter when you subtract.', 'user': 'tutor'}]","[{'id': 55, 'text': 'Good effort!', 'time': '27:55', 'user': 'tutor'}
 {'id': 56, 'text': 'What is the addition equation given in the question?', 'time': '28:13', 'user': 'tutor'}
 {'id': 57, 'text': 'Are you working on this question?', 'time': '29:20', 'user': 'tutor'}]",1.3B.Addition & Subtraction Properties (Review) - 1,"[{'is_revised': True, 'text': 'Great try! It does not matter which order you add numbers, so 5+7 is the same as 7+5, BUT the order does matter when you subtract.', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Ok', 'user': 'student'}
 {'is_revised': True, 'text': 'So 5-11 is not the same as 11-5.', 'user': 'tutor'}]",provide_hint,diagnose,train
clarify_misunderstanding,6321463_13,"[{'id': 13, 'text': 'chat window', 'time': '04:12', 'user': 'student'}
 {'id': 14, 'text': 'Thanks for letting me know.', 'time': '04:23', 'user': 'tutor'}
 {'id': 15, 'text': 'Is this your final answer?', 'time': '04:24', 'user': 'tutor'}
 {'id': 16, 'text': 'yes maam', 'time': '04:35', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! When you plot the point (3, 2) you need to make sure you move in the horizontal direction first. You actually graphed the point (2,3)', 'user': 'tutor'}]","[{'id': 17, 'text': 'Your answer is incorrect.', 'time': '04:52', 'user': 'tutor'}
 {'id': 18, 'text': 'Plus 1 point for your good try.', 'time': '05:04', 'user': 'tutor'}
 {'id': 19, 'text': 'Let me explain it to you.', 'time': '05:18', 'user': 'tutor'}
 {'id': 20, 'text': 'What is an ordered pair?', 'time': '05:27', 'user': 'tutor'}]",5.5A.Graphing on a Coordinate Grid,"[{'is_revised': True, 'text': 'Great try! When you plot the point (3, 2) you need to make sure you move in the horizontal direction first. You actually graphed the point (2,3)', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh yes I see that now.', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! Please try to plot (3, 2) again.', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Great job.', 'user': 'tutor'}]",explain_concept,guess,train
understand_topic,2927517_92,"[{'id': 92, 'text': 'We are running out of time.', 'time': '31:26', 'user': 'tutor'}
 {'id': 93, 'text': 'Please stop doodling on the whiteboard.', 'time': '32:01', 'user': 'tutor'}
 {'id': 94, 'text': 'What is your answer to this problem?', 'time': '32:15', 'user': 'tutor'}
 {'id': 95, 'text': '500\\\\', 'time': '32:45', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ah, no not quite. One trick you can do when adding hundreds is to ignore the zeros at the end when estimating and put them back later', 'user': 'tutor'}
 {'is_revised': True, 'text': 'For example, could you try 3+3+4?', 'user': 'tutor'}]","[{'id': 96, 'text': 'Your answer is not correct.', 'time': '32:59', 'user': 'tutor'}
 {'id': 97, 'text': 'The addition of 300, 300, and 400 will be 1000.', 'time': '33:16', 'user': 'tutor'}
 {'id': 98, 'text': 'Therefore, the number closest to the total number of cans the students collected on three days will be 1000 cans.', 'time': '33:56', 'user': 'tutor'}
 {'id': 99, 'text': 'Does that step make sense?', 'time': '34:11', 'user': 'tutor'}]",4.4G.Estimation,"[{'is_revised': True, 'text': 'Ah, no not quite. One trick you can do when adding hundreds is to ignore the zeros at the end when estimating and put them back later', 'user': 'tutor'}
 {'is_revised': True, 'text': 'For example, could you try 3+3+4?', 'user': 'tutor'}
 {'is_revised': True, 'text': '10', 'user': 'student'}
 {'is_revised': True, 'text': ""Yes, and because we removed 2 zeros from each of the numbers when adding, after we've finished adding we can put the zeros back"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'So 10 becomes 1000', 'user': 'tutor'}]",provide_strategy,guess,train
hint_mistake,6165939_45,"[{'id': 45, 'text': '55', 'time': '13:00', 'user': 'student'}
 {'id': 46, 'text': '1:55', 'time': '13:08', 'user': 'student'}
 {'id': 47, 'text': 'Are you sure with your answer?', 'time': '13:19', 'user': 'tutor'}
 {'id': 48, 'text': 'umm idk', 'time': '13:46', 'user': 'student'}]","[{'is_revised': True, 'text': 'You are close! If you look closely at the hour hand, did it reach the 1 yet?', 'user': 'tutor'}]","[{'id': 49, 'text': 'Please recheck your answer.', 'time': '13:57', 'user': 'tutor'}]",3.7C.Using Time,"[{'is_revised': True, 'text': 'You are close! If you look closely at the hour hand, did it reach the 1 yet?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'no', 'user': 'student'}
 {'is_revised': True, 'text': ""Yeah, so what means is that it's not 1:55. It's actually 1 hour before 1:55"", 'user': 'tutor'}
 {'is_revised': True, 'text': '12:55?', 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, well done!', 'user': 'tutor'}]",ask_question,right-idea,train
understand_topic,2963388_49,"[{'id': 49, 'text': 'Try to solve this your next question.', 'time': '21:35', 'user': 'tutor'}
 {'id': 50, 'text': '9', 'time': '22:32', 'user': 'student'}
 {'id': 51, 'text': 'Is that your final answer?', 'time': '22:43', 'user': 'tutor'}
 {'id': 52, 'text': 'yes', 'time': '22:51', 'user': 'student'}]","[{'is_revised': True, 'text': ""Great try! Let's look at the endpoints of the line. One is at 2 and the other endpoint is where?"", 'user': 'tutor'}]","[{'id': 53, 'text': 'Sorry, Your answer is incorrect.', 'time': '22:57', 'user': 'tutor'}
 {'id': 54, 'text': 'Please try it again.', 'time': '23:10', 'user': 'tutor'}]",2.9A.Length Problems,"[{'is_revised': True, 'text': ""Great try! Let's look at the endpoints of the line. One is at 2 and the other endpoint is where?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '7', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! What is the distance between 2 and 7?', 'user': 'tutor'}]",ask_question,guess,train
The student is no longer at his computer and thus can no longer communicate with the tutor.,4111720_8,"[{'id': 8, 'text': 'ok', 'time': '06:36', 'user': 'student'}
 {'id': 9, 'text': 'Product of quotient and divisor will get missing dividend.', 'time': '07:35', 'user': 'tutor'}
 {'id': 10, 'text': 'Are you still at the computer?', 'time': '08:59', 'user': 'tutor'}
 {'id': 11, 'text': 'no', 'time': '09:21', 'user': 'student'}]","[{'is_revised': True, 'text': ""Ok, then I'll see you next session."", 'user': 'tutor'}]","[{'id': 12, 'text': 'That was a good try.', 'time': '09:22', 'user': 'tutor'}]",3.5D.Unknown Numbers in Division,"[{'is_revised': True, 'text': ""Ok, then I'll see you next session."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Ok', 'user': 'student'}
 {'is_revised': True, 'text': 'Please fill out the questionnaire as you leave.', 'user': 'tutor'}]",Said goodbye to the student. ,The student did not make a mistake. The student just said that he wasn't at the computer.,train
understand_topic,6345758_104,"[{'id': 104, 'text': 'Okay, Go ahead and choose your answer!', 'time': '39:35', 'user': 'tutor'}
 {'id': 105, 'text': 'Are you still at your computer?', 'time': '40:15', 'user': 'tutor'}
 {'id': 106, 'text': 'Can be concluded this is the final answer?', 'time': '40:47', 'user': 'tutor'}
 {'id': 107, 'text': 'b', 'time': '40:49', 'user': 'student'}]","[{'is_revised': True, 'text': 'The range of a set of numbers is the difference between the lowest value and the highest value. In the set of numbers {4,1,89,3,6,73,12,28}, what is the range?', 'user': 'tutor'}]","[{'id': 108, 'text': 'That was a good try!', 'time': '41:25', 'user': 'tutor'}
 {'id': 109, 'text': 'Let me review this answer on the whiteboard!', 'time': '41:44', 'user': 'tutor'}]",6.12C.Range and Deviation (Review) - 1,"[{'is_revised': True, 'text': 'The range of a set of numbers is the difference between the lowest value and the highest value. In the set of numbers {4,1,89,3,6,73,12,28}, what is the range?', 'user': 'tutor'}
 {'is_revised': True, 'text': '88', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct! Good job', 'user': 'tutor'}]",provide_similar_problem,diagnose,train
understand_topic,4256694_6,"[{'id': 6, 'text': 'can you see the question ?', 'time': '12:23', 'user': 'tutor'}
 {'id': 7, 'text': 'yes', 'time': '12:33', 'user': 'student'}
 {'id': 8, 'text': 'Why is it important to check if there is any unnecessary information in a word problem?', 'time': '12:50', 'user': 'tutor'}
 {'id': 9, 'text': 'i dont no', 'time': '13:09', 'user': 'student'}]","[{'is_revised': True, 'text': ""It's so that we know use the wrong information when calculating the answer. For example, Abby has 3 apples and 4 bananas. Bob has 2 apples and 6 bananas. How many apples do Abby and Bob have in total?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'This question is only asking for how many apples Abby and Bob have in total. So the information about how many bananas they have is unnecessary and we should be careful not to accidentally use that when calculating our answer', 'user': 'tutor'}]","[{'id': 10, 'text': ""It is important to make sure we don't accidentally use the wrong information to solve the problem which would lead to an incorrect answer."", 'time': '13:18', 'user': 'tutor'}]",3.5B.Word Problems with Multiplication,"[{'is_revised': True, 'text': ""It's so that we know use the wrong information when calculating the answer. For example, Abby has 3 apples and 4 bananas. Bob has 2 apples and 6 bananas. How many apples do Abby and Bob have in total?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'This question is only asking for how many apples Abby and Bob have in total. So the information about how many bananas they have is unnecessary and we should be careful not to accidentally use that when calculating our answer', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Oh I see', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! So how many apples do Abby and Bob have in total?', 'user': 'tutor'}
 {'is_revised': True, 'text': '5', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",provide_similar_problem,guess,train
understand_topic,2894845_58,"[{'id': 58, 'text': 'two????', 'time': '18:52', 'user': 'student'}
 {'id': 59, 'text': 'no three', 'time': '19:01', 'user': 'student'}
 {'id': 60, 'text': 'Is that you final answer?', 'time': '20:02', 'user': 'tutor'}
 {'id': 61, 'text': 'yes??', 'time': '20:17', 'user': 'student'}]","[{'is_revised': True, 'text': ""You seem unsure, and that's ok! Let's look at another example. If the sides of the rectangle are 3 and 5, we multiply those together to get the area, which would be 15."", 'user': 'tutor'}]","[{'id': 62, 'text': ""That's a good try."", 'time': '20:33', 'user': 'tutor'}
 {'id': 63, 'text': 'But your answer is incorrect.', 'time': '20:41', 'user': 'tutor'}]",3.6E.Shapes and Area,"[{'is_revised': True, 'text': ""You seem unsure, and that's ok! Let's look at another example. If the sides of the rectangle are 3 and 5, we multiply those together to get the area, which would be 15."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'ok thanks', 'user': 'student'}
 {'is_revised': True, 'text': ""So then for this problem, what's the area? Multiply the length by the width."", 'user': 'tutor'}]",provide_example,guess,train
elaborate_answer,2928562_46,"[{'id': 46, 'text': 'i added 2 on the x and y by 6', 'time': '18:12', 'user': 'student'}
 {'id': 47, 'text': 'Let me check your answer.', 'time': '18:27', 'user': 'tutor'}
 {'id': 48, 'text': 'What are the y values when x = 6, 8, and 10?', 'time': '19:03', 'user': 'tutor'}
 {'id': 49, 'text': '19 31 44', 'time': '20:03', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! Can you explain how you got your answer?', 'user': 'tutor'}]","[{'id': 50, 'text': 'That was a very good try.', 'time': '20:21', 'user': 'tutor'}
 {'id': 51, 'text': 'Let me explain it to you.', 'time': '20:26', 'user': 'tutor'}
 {'id': 52, 'text': 'The 5 is on there to make the pattern harder to determine.', 'time': '21:36', 'user': 'tutor'}
 {'id': 53, 'text': 'Extend the chart continuing the pattern until to get to x=10.', 'time': '22:08', 'user': 'tutor'}
 {'id': 54, 'text': 'Did you understand this question?', 'time': '22:15', 'user': 'tutor'}]",8.5G.Intro to Functions,"[{'is_revised': True, 'text': 'Great try! Can you explain how you got your answer?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'I multiplied by 2 and added 6', 'user': 'student'}
 {'is_revised': True, 'text': ""That's a great try. You are correct that you should multply the x by 2 and then add 6, but it looks like you made some arithmetic errors."", 'user': 'tutor'}]",ask_question,diagnose,train
clarify_misunderstanding,2928505_92,"[{'id': 92, 'text': '200', 'time': '30:06', 'user': 'student'}
 {'id': 93, 'text': 'Okay [STUDENT].', 'time': '30:07', 'user': 'tutor'}
 {'id': 94, 'text': 'Is it 200?', 'time': '30:25', 'user': 'tutor'}
 {'id': 95, 'text': 'yes', 'time': '30:39', 'user': 'student'}]","[{'is_revised': True, 'text': ""Close. We don't need to subtract 1 from the hundreds place."", 'user': 'tutor'}]","[{'id': 96, 'text': 'That was s good try.', 'time': '30:49', 'user': 'tutor'}
 {'id': 97, 'text': 'But, the answer is 300.', 'time': '30:59', 'user': 'tutor'}
 {'id': 98, 'text': ""You don't need to subtract 1 from the hundreds place value number."", 'time': '32:35', 'user': 'tutor'}
 {'id': 99, 'text': 'Are you understand?', 'time': '32:43', 'user': 'tutor'}]",4.4G.Estimation,"[{'is_revised': True, 'text': ""Close. We don't need to subtract 1 from the hundreds place."", 'user': 'tutor'}
 {'is_revised': True, 'text': 'Why?', 'user': 'student'}
 {'is_revised': True, 'text': ""Because we're only subtracting a 2 digit number (25) that's not close to 100. We're just estimating for this one"", 'user': 'tutor'}]",provide_correction,right-idea,train
elaborate_answer,4289415_22,"[{'id': 22, 'text': 'now i can', 'time': '20:19', 'user': 'student'}
 {'id': 23, 'text': 'Good!', 'time': '20:29', 'user': 'tutor'}
 {'id': 24, 'text': 'what is addition?', 'time': '20:34', 'user': 'tutor'}
 {'id': 25, 'text': '-', 'time': '20:44', 'user': 'student'}]","[{'is_revised': True, 'text': 'Can you elaborate?', 'user': 'tutor'}]","[{'id': 26, 'text': 'Very good! 1 point for your effort.', 'time': '21:16', 'user': 'tutor'}]",3.4A.Adding Whole Numbers,"[{'is_revised': True, 'text': 'Can you elaborate?', 'user': 'tutor'}
 {'is_revised': True, 'text': '+', 'user': 'student'}
 {'is_revised': True, 'text': 'Great! That is the addition symbol - can you explain what addition means?', 'user': 'tutor'}]",ask_question,guess,train
